Total Cost,Total Cost,Total Log,Total Log,Utility Cost,Utility Cost,Utility Log,Utility Log,Insurance Cost,Insurance Cost,Insurance Log,Insurance Log,Ratepayer Cost,Ratepayer Cost,Ratepayer Log,Ratepayer Log,Insurer Profit,Insurer Profit,Utility Profit,Utility Profit
400000000,2029,6.1,0,400000000,1941,6.1,1,400000000,1652,6.1,2,400000000,2238,6.1,0,2000000,19,2000000,114
800000000,746,6.2,0,800000000,3,6.2,6,800000000,1185,6.2,1,800000000,996,6.2,0,4000000,16,4000000,167
1200000000,410,6.3,0,1200000000,0,6.3,6,1200000000,425,6.3,4,1200000000,344,6.3,0,6000000,14,6000000,67
1600000000,288,6.4,0,1600000000,0,6.4,5,1600000000,78,6.4,4,1600000000,242,6.4,0,8000000,27,8000000,34
2000000000,246,6.5,0,2000000000,0,6.5,10,2000000000,17,6.5,3,2000000000,169,6.5,0,10000000,16,10000000,275
2400000000,162,6.6,0,2400000000,0,6.6,24,2400000000,3,6.6,12,2400000000,125,6.6,0,12000000,22,12000000,144
2800000000,137,6.7,0,2800000000,0,6.7,38,2800000000,0,6.7,8,2800000000,104,6.7,0,14000000,12,14000000,223
3200000000,123,6.8,0,3200000000,0,6.8,44,3200000000,0,6.8,9,3200000000,82,6.8,0,16000000,18,16000000,52
3600000000,85,6.9,17,3600000000,0,6.9,111,3600000000,0,6.9,11,3600000000,87,6.9,0,18000000,14,18000000,26
4000000000,85,7,8,4000000000,0,7,153,4000000000,0,7,16,4000000000,63,7,0,20000000,19,20000000,344
4400000000,79,7.1,11,4400000000,0,7.1,26,4400000000,0,7.1,19,4400000000,50,7.1,0,22000000,18,22000000,157
4800000000,51,7.2,16,4800000000,0,7.2,47,4800000000,0,7.2,25,4800000000,57,7.2,0,24000000,20,24000000,198
5200000000,48,7.3,35,5200000000,0,7.3,101,5200000000,0,7.3,38,5200000000,38,7.3,0,26000000,26,26000000,61
5600000000,54,7.4,31,5600000000,0,7.4,73,5600000000,0,7.4,41,5600000000,29,7.4,0,28000000,22,28000000,19
6000000000,39,7.5,41,6000000000,0,7.5,124,6000000000,0,7.5,38,6000000000,35,7.5,0,30000000,18,30000000,378
6400000000,31,7.6,57,6400000000,0,7.6,83,6400000000,0,7.6,47,6400000000,54,7.6,0,32000000,15,32000000,116
6800000000,37,7.7,64,6800000000,0,7.7,71,6800000000,0,7.7,59,6800000000,30,7.7,0,34000000,19,34000000,120
7200000000,42,7.8,111,7200000000,0,7.8,78,7200000000,0,7.8,82,7200000000,38,7.8,0,36000000,18,36000000,31
7600000000,39,7.9,136,7600000000,0,7.9,68,7600000000,0,7.9,71,7600000000,28,7.9,0,38000000,17,38000000,5
8000000000,32,8,138,8000000000,0,8,81,8000000000,0,8,96,8000000000,26,8,0,40000000,21,40000000,244
8400000000,35,8.1,178,8400000000,0,8.1,80,8400000000,0,8.1,115,8400000000,26,8.1,0,42000000,20,42000000,51
8800000000,23,8.2,195,8800000000,0,8.2,117,8800000000,0,8.2,126,8800000000,27,8.2,0,44000000,26,44000000,62
9200000000,27,8.3,194,9200000000,0,8.3,260,9200000000,0,8.3,135,9200000000,20,8.3,472,46000000,23,46000000,5
9600000000,30,8.4,231,9600000000,0,8.4,108,9600000000,0,8.4,158,9600000000,28,8.4,712,48000000,13,48000000,4
10000000000,27,8.5,281,10000000000,0,8.5,32,10000000000,0,8.5,162,10000000000,18,8.5,583,50000000,17,50000000,115
10400000000,19,8.6,261,10400000000,0,8.6,20,10400000000,0,8.6,341,10400000000,10,8.6,466,52000000,17,52000000,8
10800000000,16,8.7,250,10800000000,0,8.7,3,10800000000,0,8.7,596,10800000000,3,8.7,389,54000000,16,54000000,17
11200000000,9,8.8,247,11200000000,0,8.8,2,11200000000,0,8.8,341,11200000000,5,8.8,340,56000000,27,56000000,0
11600000000,10,8.9,251,11600000000,0,8.9,0,11600000000,0,8.9,260,11600000000,5,8.9,265,58000000,22,58000000,0
12000000000,8,9,232,12000000000,0,9,0,12000000000,0,9,282,12000000000,3,9,207,60000000,24,60000000,19
12400000000,3,9.1,220,12400000000,0,9.1,0,12400000000,0,9.1,171,12400000000,3,9.1,181,62000000,21,62000000,0
12800000000,4,9.2,241,12800000000,0,9.2,0,12800000000,0,9.2,52,12800000000,3,9.2,193,64000000,28,64000000,0
