Gust speed,All,Pole,Wire,Vegetation,Undetermined
1,9,0,2,0,7
2,1,0,0,0,1
3,14,0,6,1,7
4,7,0,1,0,6
5,16,1,5,4,6
6,13,1,4,2,6
7,16,0,2,4,10
8,11,0,3,1,7
9,13,3,4,0,6
10,17,2,5,2,8
11,7,0,3,0,4
12,13,2,2,3,6
13,12,2,2,4,4
14,8,1,2,2,3
15,11,0,4,1,6
16,9,1,3,0,5
17,9,0,2,1,6
18,7,0,1,1,5
19,6,1,1,0,4
20,14,0,5,2,7
21,18,2,8,0,8
22,31,5,13,6,7
23,10,0,3,0,7
24,19,1,5,4,9
25,20,2,6,5,7
26,13,1,5,1,6
27,13,2,5,2,4
28,29,4,5,3,17
29,16,1,5,2,8
30,17,5,6,3,3
31,25,2,9,6,8
32,20,0,9,2,9
33,27,3,7,7,10
34,25,1,7,6,11
35,40,3,12,12,13
36,37,2,8,8,19
37,39,3,17,8,11
38,36,1,14,8,13
39,27,0,9,4,14
40,37,4,12,10,11
41,33,4,8,1,20
42,11,0,3,0,8
43,25,1,13,1,10
44,22,2,6,5,9
45,27,5,9,5,8
46,13,2,6,1,4
47,22,5,8,5,4
48,11,2,5,1,3
49,23,4,12,3,4
50,6,0,2,1,3
51,6,0,1,2,3
52,9,1,3,1,4
53,9,1,5,1,2
54,6,0,1,1,4
55,10,2,2,1,5
56,8,0,3,1,4
57,5,1,4,0,0
58,2,0,2,0,0
59,13,1,8,2,2
60,1,0,0,0,1
61,1,1,0,0,0
62,1,1,0,0,0
63,2,0,1,0,1
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,1,0,1,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0,0
